experiment_id,derived_from_failed_alpha,hypothesis,cluster,mutation_type,required_data,test_mode,trade_count,raw_R,cost_adjusted_R,baseline_to_beat,status,decision,reject_condition,next_action
EXP-RET-1H-INVERT,ret_1h_rank,Inverted direction produces positive R,momentum,invert_signal,Existing R leaderboard + IC data,SCALP_1H_FAST,110513,-0.839,BLOCKED,0.0,BLOCKED,REJECT,IC already aligned with direction; cost-killed,Focus on cost rescue instead
EXP-RET-4H-INVERT,ret_4h_rank,Inverted direction produces positive R,momentum,invert_signal,Existing R leaderboard + IC data,SCALP_1H_FAST,98815,-0.829,BLOCKED,0.0,BLOCKED,REJECT,IC already aligned with direction; cost-killed,Focus on cost rescue instead
EXP-RET-12H-INVERT,ret_12h_rank,Inverted direction produces positive R,momentum,invert_signal,Existing R leaderboard + IC data,SCALP_1H_FAST,88460,-0.550,BLOCKED,0.0,BLOCKED,REJECT,IC already aligned with direction; cost-killed,Focus on cost rescue instead
EXP-RET-24H-INVERT,ret_24h_rank,Inverted direction produces positive R,momentum,invert_signal,Existing R leaderboard + IC data,SCALP_1H_FAST,82797,-0.813,BLOCKED,0.0,BLOCKED,REJECT,IC already aligned with direction; cost-killed,Focus on cost rescue instead
EXP-VOL-ZSCORE-INVERT,volume_zscore,Inverted direction produces positive R,volume,invert_signal,Existing R leaderboard + IC data,SCALP_1H_FAST,67836,-1.278,BLOCKED,0.0,BLOCKED,REJECT,IC already aligned with direction; cost-killed,Focus on cost rescue instead
EXP-TREND-PB-INVERT,trend_pullback_ema,Inverted direction produces positive R,trend,invert_signal,Existing R leaderboard + IC data,SCALP_1H_SLOW,59013,-0.143,BLOCKED,0.0,BLOCKED,REJECT,Unstable direction; cost-killed,Focus on cost rescue instead
EXP-TRUTH-V6-BTC-SHORT-COST,Discovery Pipeline V6,BTCUSDT SHORT maker execution survives costs,discovery_pipeline,symbol_whitelist+direction_filter+maker_execution,Actual trade data from re-run with logging,SCALP,150,-0.052,BLOCKED,0.05,BLOCKED,BLOCKED,cost-adjusted R < 0 or trade count < 200,Re-run Truth V6 with per-trade logging
EXP-TRUTH-V6-CONFIDENCE-TOP25,Discovery Pipeline V6,Top confidence quartile survives costs,discovery_pipeline,confidence_threshold,Per-trade confidence scores from re-run,SCALP,0,BLOCKED,BLOCKED,0.05,BLOCKED,BLOCKED,No confidence data available,Re-run with profit_score computation
EXP-BB-POS-V2-CORRECTED,BB Position Mean-Reversion v1,Corrected features preserve mean-reversion edge,mean_reversion,retest,Training pipeline re-run with fixed features,SCALP,0,BLOCKED,BLOCKED,0.0043,BLOCKED,REJECT,Expected clean R near zero; cost-killed,Run training pipeline when available
EXP-SCALP-005-REGIME-GATED,SCALP Baseline (Operation 0.05),Regime gate improves baseline,directional,regime_gate,Central sim re-run with regime filter,SCALP,0,BLOCKED,BLOCKED,-0.0951,BLOCKED,BLOCKED,Central sim bridge not built,Build central sim bridge first
EXP-FACTOR-SPRINT-CENTRAL-SIM,All 33 proxy R entries,Central sim produces different results,mixed,retest,Central sim bridge adapter,mixed,0,BLOCKED,BLOCKED,0.0,BLOCKED,BLOCKED,All 33 remain negative after central sim,Build central sim bridge adapter
