alpha_id,alpha_name,source_file,mode,family_or_cluster,status,raw_net_R,cost_adjusted_R,estimated_cost_R,trade_count,winrate,ic_score,oos_R,walk_forward_status,holdout_status,contaminated,failure_reason,primary_loss_bucket,symbol_concentration,regime_available,session_available,spread_available,volume_available,baseline_compared,baseline_dominance_status,classification,rescue_action,inversion_priority,segment_rescue_priority,cost_rescue_priority,retest_priority,recommended_next_experiment,confidence,notes
scalp_bb_position_mean_reversion_v1,BB Position Mean-Reversion v1,reports/ALPHA_INVENTORY_FULL.csv,SCALP,mean_reversion,CONTAMINATED,0.0043,,0.062,4552,,,,UNKNOWN,NOT_RUN,True,CONTAMINATED: _rolling_mean used np.convolve(mode='same') leaking future data. bb_position 97.3% dominance. Must re-validate on corrected features.,,UNKNOWN,False,False,False,False,False,UNKNOWN,CONTAMINATED_REJECT,Do not use. Check if corrected v2 exists.,0,0,0,0,,HIGH,CONTAMINATED: _rolling_mean used np.convolve(mode='same') leaking future data. bb_position 97.3% dominance. Must re-validate on corrected features.
scalp_bb_position_mean_reversion_v2,BB Position Mean-Reversion v2 (corrected),reports/ALPHA_INVENTORY_FULL.csv,SCALP,mean_reversion,HOLD,,,0.062,,,,,UNKNOWN,UNKNOWN,False,Pipeline fixed (mode='full'[:n]). Re-validation not yet run.,,UNKNOWN,False,False,False,False,False,UNKNOWN,RETEST_REQUIRED,Re-run with completed simulation pipeline,0,0,0,3,,LOW,Pipeline fixed (mode='full'[:n]). Re-validation not yet run.
discovery_pipeline_v6,"Discovery Pipeline V6 (real data, 4-sym)",reports/ALPHA_INVENTORY_FULL.csv,SCALP,discovery_pipeline,REJECTED,0.0515,,0.062,870,0.4966,,,UNKNOWN,NOT_RUN,False,Best honest result: +0.0515R. Below SCALP promotion threshold (0.05R borderline). DD=-20.96R. REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,PROMISING_RAW_POSITIVE,Cost rescue: regime/symbol filters needed,0,0,5,0,,HIGH,Best honest result: +0.0515R. Below SCALP promotion threshold (0.05R borderline). DD=-20.96R. REJECT.
scalp_1h_direction_v01,SCALP 1h Direction (XGBoost 2-class),reports/ALPHA_INVENTORY_FULL.csv,SCALP,XGBoost,REJECTED,0.007648,,0.062,31752,,,,UNKNOWN,NOT_RUN,False,"OOS acc=0.5149, marginally beats random. Flat calibration. Not V7_READY.",,UNKNOWN,False,False,False,False,False,UNKNOWN,PROMISING_RAW_POSITIVE,Needs cost survival. Test confidence threshold filter.,0,0,3,0,,MEDIUM,"OOS acc=0.5149, marginally beats random. Flat calibration. Not V7_READY."
scalp_op005_base_12sym,"SCALP Baseline (Operation 0.05, taker, 12 sym)",reports/ALPHA_INVENTORY_FULL.csv,SCALP,discovery_pipeline,REJECTED,-0.0951,,0.062,4726,0.4448,,,UNKNOWN,NOT_RUN,False,True base R on 12 real symbols. Negative expectancy. 0.1328R short of 0.05 target.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Test regime/symbol filtering. May have segments.,0,3,2,0,,HIGH,True base R on 12 real symbols. Negative expectancy. 0.1328R short of 0.05 target.
scalp_op005_maker_pess_12sym,"SCALP Maker-Pessimistic (Operation 0.05, 12 sym)",reports/ALPHA_INVENTORY_FULL.csv,SCALP,discovery_pipeline,REJECTED,-0.0828,,0.062,4726,0.4467,,,UNKNOWN,NOT_RUN,False,Best honest stack: -0.0828R. Still 0.1328R short of 0.05 target.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Test regime/symbol filtering. May have segments.,0,3,2,0,,HIGH,Best honest stack: -0.0828R. Still 0.1328R short of 0.05 target.
swing_control_12sym,"SWING Control (Operation 0.05, taker, 12 sym)",reports/ALPHA_INVENTORY_FULL.csv,SWING,other,REJECTED,-0.1138,,0.062,2270,0.4137,,,UNKNOWN,NOT_RUN,False,"SWING control baseline. Negative expectancy. Cost decomposition: fee=0.0468R, slippage=0.0118R.",,UNKNOWN,False,False,False,False,False,UNKNOWN,REJECT_FOREVER,Control baseline. Strongly negative. No rescue path.,0,0,0,0,,HIGH,"SWING control baseline. Negative expectancy. Cost decomposition: fee=0.0468R, slippage=0.0118R."
fs_trend_pullback_ema,Trend Pullback EMA,reports/ALPHA_INVENTORY_FULL.csv,SWING,trend,REJECTED,-0.1033,,0.062,40944,,,,UNKNOWN,UNKNOWN,False,SWING_PROXY_1H. Negative total R (-4231). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,SWING_PROXY_1H. Negative total R (-4231). REJECT.
fs_compression_breakout_regime,Compression Breakout Regime,reports/ALPHA_INVENTORY_FULL.csv,SWING,breakout,REJECTED,-0.1061,,0.062,45669,,,,UNKNOWN,UNKNOWN,False,Negative total R (-4847). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,Negative total R (-4847). REJECT.
fs_spread_contraction_signal,Spread Contraction Signal,reports/ALPHA_INVENTORY_FULL.csv,SWING,spread_microstructure,REJECTED,-0.1101,,0.062,44562,,,,UNKNOWN,UNKNOWN,False,Negative total R (-4908). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,Negative total R (-4908). REJECT.
fs_corwin_schultz_spread_proxy,Corwin-Schultz Spread Proxy,reports/ALPHA_INVENTORY_FULL.csv,SWING,spread_microstructure,REJECTED,-0.1164,,0.062,49672,,,,UNKNOWN,UNKNOWN,False,Negative total R (-5781). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,Negative total R (-5781). REJECT.
fs_volume_climax_reversal_long,Volume Climax Reversal Long,reports/ALPHA_INVENTORY_FULL.csv,SWING,volume,REJECTED,-0.1143,,0.062,57167,,,,UNKNOWN,UNKNOWN,False,Negative total R (-6535). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,Negative total R (-6535). REJECT.
fs_volume_climax_reversal_short,Volume Climax Reversal Short,reports/ALPHA_INVENTORY_FULL.csv,SWING,volume,REJECTED,-0.1227,,0.062,57227,,,,UNKNOWN,UNKNOWN,False,Negative total R (-7023). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,Negative total R (-7023). REJECT.
fs_session_volatility_regime,Session Volatility Regime,reports/ALPHA_INVENTORY_FULL.csv,SWING,volatility,REJECTED,-0.2439,,0.062,44342,,,,UNKNOWN,UNKNOWN,False,Negative total R (-10816). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,Negative total R (-10816). REJECT.
